Recipe Image,Recipe Name,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Base Value,Effect,Where to Unlock,Used for Festivals
,Whole Cheesecake,Wheat Flour,"Egg+, Silkie Egg+",Buffalo Milk+,Cheese (any),"2,746G",Petting Rare Item % Lv. 4,Nadine's Bistro,Pumpkin Festival
,Whole Chocolate Cake,Wheat Flour,"Egg+, Silkie Egg+","Milk+, Buffalo Milk+",Chocolate,"1,786G",Petting Rare Item % Lv. 4,Win the Bake-Off! Festival,Pumpkin Festival
,Apple Pie,Wheat Flour,"Egg, Silkie Egg",Butter (any),Apple,"1,458G",Petting Rare Item % Lv. 3,Calm Amongst Chaos request from Clara,Pumpkin Festival
,Whole Cake,Wheat Flour,"Egg+, Silkie Egg+","Milk+, Buffalo Milk+",Strawberry,"1,350G",Petting Rare Item % Lv. 3,Nadine's Bistro,Pumpkin Festival
,Mont Blanc Cake,Wheat Flour,"Egg, Silkie Egg","Milk, Buffalo Milk",Bottled Chestnuts,"1,242G",Petting Rare Item % Lv. 3,Nadine's Bistro,Pumpkin Festival
,Pumpkin Pudding,"Milk, Buffalo Milk","Egg, Silkie Egg",Pumpkin,,986G,Petting Rare Item % Lv. 2,Nadine's Bistro,Pumpkin Festival
,Chocolate Cookies,Wheat Flour,"Egg, Silkie Egg",Chocolate,,832G,Petting Rare Item % Lv. 2,Clara's Diner,Pumpkin Festival
,Honey Cake,Wheat Flour,"Egg, Silkie Egg",Honey (any),,755G,Petting Rare Item % Lv. 2,First Honey Day,"Honey Day, Pumpkin Festival"
,Chocolate-Covered Banana,Banana,Chocolate,,,735G,Petting Rare Item % Lv. 2,"Café Madeleine (seasonal, dunno which season)",Pumpkin Festival
,Pudding,"Milk, Buffalo Milk","Egg, Silkie Egg",,,328G,Petting Rare Item % Lv. 1,"Generous Forager title, Nadine's Bistro, Family seal of approval! mail from Felix",Pumpkin Festival
,Cookies,Wheat Flour,"Egg, Silkie Egg",,,328G,Petting Rare Item % Lv. 1,"Cheer Leader title, Café Madeleine",Pumpkin Festival
Other Recipes,,,,,,,,,
,Soy Milk,Soybean,,,,85G,Max Stamina Up Lv. 1,Café Madeleine,
,Honey Juice,Honey (any),,,,325G,Stamina Saver Lv. 1,"Generous Beekeeper title, Café Madeleine",
,Simmered Seaweed,Seaweed,Soy Sauce,,,424G,Rod Durability Up Lv. 1,Clara's Diner,
,Summer Blend Tea,Summer Blend Tea Tin,,,,"1,287G",Run Speed Up Lv. 3,Café Madeleine (Summer Only),Hearth Day
,Summer Juice,Banana Juice,Peach Juice,Lemon Juice,,"1,020G",Run Speed Up Lv. 3,Mini Madeleine's (Summer Only),
,Black Tea,Black Tea Tin,,,,401G,Watering Rare Crop % Lv. 1,"Café Madeleine, A trip with a goddess mail from Erik",Hearth Day
,Golden Blend Tea,Golden Blend Tea Tin,,,,"13,031G",Chat Friendship Boost Lv. 4,Apple Pie Award request from Clara,Hearth Day
,Watermelon Tea,Watermelon Tea Tin,,,,"2,148G",Chat Friendship Boost Lv. 4,Mini Madeleine's,Hearth Day
,Melon Tea,Melon Tea Tin,,,,"1,901G",Chat Friendship Boost Lv. 4,Mini Madeleine's,Hearth Day
,Jam Tea,Black Tea,"Apple Jam, Strawberry Jam, Grape Jam, Blueberry Jam",,,"1,850G",Chat Friendship Boost Lv. 4,Mini Madeleine's,Hearth Day
,Pineapple Tea,Pineapple Tea Tin,,,,"1,320G",Chat Friendship Boost Lv. 3,Mini Madeleine's,Hearth Day
,Spring Blend Tea,Spring Blend Tea Tin,,,,"1,287G",Chat Friendship Boost Lv. 3,Café Madeleine (Spring Only),Hearth Day
,Royal Milk Tea,Black Tea,Milk+,,,"1,194G",Chat Friendship Boost Lv. 3,Nadine's Bistro,Hearth Day
,Spring Juice,Strawberry Juice,Orange Juice,Cherry Juice,,935G,Chat Friendship Boost Lv. 3,Mini Madeleine's (Spring Only),
,Strawberry Jam,Strawberry,Sugar,Lemon,,855G,Chat Friendship Boost Lv. 2,Mini Madeleine's,
,Fruit Juice,Grape Juice,Apple,Orange,,826G,Chat Friendship Boost Lv. 2,Nadine's Bistro,
,Cafe au Lait,Hot Coffee,"Milk, Buffalo Milk",,,780G,Chat Friendship Boost Lv. 2,Bookshelves in Freya's House,Hearth Day
,Cappuccino,Hot Coffee,"Milk, Buffalo Milk",,,780G,Chat Friendship Boost Lv. 2,Nadine's Bistro,Hearth Day
,Watermelon Juice,Watermelon,,,,756G,Chat Friendship Boost Lv. 2,Nadine's Bistro,
,Milk Tea,Black Tea Tin,"Milk, Buffalo Milk",,,674G,Chat Friendship Boost Lv. 2,Nadine's Bistro,Hearth Day
,Melon Juice,Melon,,,,658G,Chat Friendship Boost Lv. 2,Nadine's Bistro,
,Strawberry Tea,Strawberry Tea Tin,,,,586G,Chat Friendship Boost Lv. 2,Café Madeleine,Hearth Day
,Pineapple Juice,Pineapple,,,,429G,Chat Friendship Boost Lv. 1,Mini Madeleine's,
,Sencha Tea,Sencha Tea Tin,,,,401G,Chat Friendship Boost Lv. 1,Clara's Diner,Hearth Day
,Pu'er Tea,Pu'er Tea Tin,,,,401G,Chat Friendship Boost Lv. 1,Clara's Diner,Hearth Day
,Oolong Tea,Oolong Tea Tin,,,,401G,Chat Friendship Boost Lv. 1,Chill-Out Juice! request from Derek,Hearth Day
,Chestnut Juice,Bottled Chestnuts,,,,390G,Chat Friendship Boost Lv. 1,Nadine's Bistro,
,Hot Coffee,Coffee Pack,,,,380G,Chat Friendship Boost Lv. 1,Café Madeleine,Hearth Day
,Matcha Tea,Matcha Tea Tin,,,,364G,Chat Friendship Boost Lv. 1,Clara's Diner,Hearth Day
,Mint Tea,Mint Tea Tin,,,,344G,Chat Friendship Boost Lv. 1,Bringing the Cafe Home request from Freya,Hearth Day
,Chamomile Tea,Chamomile Tea Tin,,,,344G,Chat Friendship Boost Lv. 1,"Bug Chaser title, Café Madeleine",Hearth Day
,Lavender Tea,Lavender Tea Tin,,,,344G,Chat Friendship Boost Lv. 1,Nadine's Bistro,Hearth Day
,Walnut Juice,Bottled Walnuts,,,,260G,Chat Friendship Boost Lv. 1,Available at the start,
,Warm Milk,"Milk, Buffalo Milk",,,,195G,Chat Friendship Boost Lv. 1,"Available at the start, Café Madeleine",Hearth Day
,Green Tea,Green Tea Tin,,,,182G,Chat Friendship Boost Lv. 1,Clara's Diner,Hearth Day
,Strawberry Juice,Strawberry,,,,156G,Chat Friendship Boost Lv. 1,Café Madeleine,
,Tomato Juice,Tomato,,,,55G,Chat Friendship Boost Lv. 1,Café Madeleine,
,Specialty Juice,Spring Juice,Summer Juice,Autumn Juice,Royal Honey,"9,511G",Pet Training Up Lv. 4,Contribute (something high quality?) to the Juice Festival,
,Autumn Blend Tea,Autumn Blend Tea Tin,,,,"1,452G",Pet Training Up Lv. 3,Café Madeleine (Autumn Only),Hearth Day
,Autumn Juice,Blueberry Juice,Grape Juice,Apple Juice,,"1,010G",Pet Training Up Lv. 3,Mini Madeleine's (Autumn Only),
,Grape Jam,Red Grapes,Sugar,Lemon,,"1,007G",Pet Training Up Lv. 3,Mini Madeleine's,
,Apple Jam,Apple,Sugar,Lemon,,932G,Pet Training Up Lv. 2,Mini Madeleine's,
,Blueberry Jam,Blueberry,Sugar,Lemon,,863G,Pet Training Up Lv. 2,Mini Madeleine's,
,Banana Tea,Banana Tea Tin,,,,832G,Pet Training Up Lv. 2,Mini Madeleine's,Hearth Day
,Mango Tea,Mango Tea Tin,,,,832G,Pet Training Up Lv. 2,Nadine's Bistro,Hearth Day
,Green Grape Tea,Green Grape Tea Tin,,,,777G,Pet Training Up Lv. 2,Nadine's Bistro,Hearth Day
,Red Grape Tea,Red Grape Tea Tin,,,,755G,Pet Training Up Lv. 2,Nadine's Bistro,Hearth Day
,Apple Tea,Apple Tea Tin,,,,740G,Pet Training Up Lv. 2,Nadine's Bistro,Hearth Day
,Cherry Tea,Cherry Tea Tin,,,,647G,Pet Training Up Lv. 2,Mini Madeleine's,Hearth Day
,Peach Tea,Peach Tea Tin,,,,647G,Pet Training Up Lv. 2,Nadine's Bistro,Hearth Day
,Orange Tea,Orange Tea Tin,,,,642G,Pet Training Up Lv. 2,Mini Madeleine's,Hearth Day
,Lemon Tea,Lemon Tea Tin,,,,632G,Pet Training Up Lv. 2,Mini Madeleine's,Hearth Day
,Blueberry Tea,Blueberry Tea Tin,,,,601G,Pet Training Up Lv. 2,Mini Madeleine's,Hearth Day
,Olive Tea,Olive Tea Tin,,,,586G,Pet Training Up Lv. 2,Mini Madeleine's,Hearth Day
,Mango Juice,Mango,,,,260G,Pet Training Up Lv. 1,Nadine's Bistro,
,Banana Juice,Banana,,,,260G,Pet Training Up Lv. 1,Nadine's Bistro,
,Grape Juice,Red Grapes,,,,228G,Pet Training Up Lv. 1,"First Juice Festival, Nadine's Bistro",
,Apple Juice,Apple,,,,221G,Pet Training Up Lv. 1,Mini Madeleine's,
,Peach Juice,Peach,,,,182G,Pet Training Up Lv. 1,Nadine's Bistro,
,Cherry Juice,Cherry,,,,182G,Pet Training Up Lv. 1,Mini Madeleine's,
,Orange Juice,Orange,,,,180G,Pet Training Up Lv. 1,Mini Madeleine's,
,Lemon Juice,Lemon,,,,176G,Pet Training Up Lv. 1,Nadine's Bistro,
,Blueberry Juice,Blueberry,,,,163G,Pet Training Up Lv. 1,Mini Madeleine's,
,Happy Fruit Platter,Heart Watermelon,"Cherry, Blueberry, Green Grapes, Strawberry, Mango, Pineapple, Banana, Peach, Orange, Melon","Apple, Red Grapes, Green Grapes, Strawberry, Mango, Pineapple, Banana, Peach, Orange, Melon",,"3,274G",Happy Energy Gain Lv. 4,Sprite's Bazaar Stand,
,Happy Chef Salad,"Egg, Silkie Egg",Corn,Onion,"Cucumber, Onion, Asparagus, Tomato, Red Bell Pepper, Carrot, Turnip, Sweet Potato, Pumpkin, Eggplant","1,233G",Happy Energy Gain Lv. 3,Sprite's Bazaar Stand,
,Happy Mushroom Fry,Mushroom (any),Salt,,,662G,Happy Energy Gain Lv. 2,Sprite's Bazaar Stand,
,Happy Forest Mix,Walnut,,,,130G,Happy Energy Gain Lv. 1,Sprite's Bazaar Stand,
